*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
10-hr fuel (%)        -99      15       12       9        10       9        9        9        -99      -99      -99      
100-hr fuel (%)       -99      19       18       16       15       15       14       14       -99      -99      -99      
1000-hr fuel (%)      -99      20       20       19       19       19       19       18       -99      -99      -99      


*TIP*SAW LAKE       128905  38.130  -86.630  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      93       89       84       87       87       87       -99      -99      -99      
Min Temp (F)          -99      61       53       49       55       64       64       64       -99      -99      -99      
Min RH (%)            -99      0        78       60       49       51       49       46       -99      -99      -99      
Max Temp (F)          -99      71       66       73       84       88       87       87       -99      -99      -99      
WSpd (knt)            -99      9        8        5        7        5        5        6        -99      -99      -99      
BI                    -99      20       22       21       23       23       23       26       -99      -99      -99      
ERC                   -99      18       22       25       26       28       29       30       -99      -99      -99      
IC                    -99      3        7        11       10       15       12       14       -99      -99      -99      
10-hr fuel (%)        -99      16       12       9        10       8        9        8        -99      -99      -99      
100-hr fuel (%)       -99      19       18       17       16       15       14       14       -99      -99      -99      
1000-hr fuel (%)      -99      20       20       19       19       19       19       18       -99      -99      -99      


*LOESS HILLS TNC BROK132207  42.700  -96.580  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       87       89       87       78       78       78       -99      -99      -99      
Min Temp (F)          -99      49       51       54       56       56       60       64       -99      -99      -99      
Min RH (%)            -99      0        58       49       65       45       47       42       -99      -99      -99      
Max Temp (F)          -99      66       74       67       80       81       89       83       -99      -99      -99      
WSpd (knt)            -99      10       22       13       13       12       18       18       -99      -99      -99      
BI                    -99      22       30       16       20       22       31       34       -99      -99      -99      
ERC                   -99      18       13       7        11       14       17       20       -99      -99      -99      
IC                    -99      7        19       6        13       13       21       22       -99      -99      -99      
10-hr fuel (%)        -99      12       11       15       11       11       10       9        -99      -99      -99      
100-hr fuel (%)       -99      18       22       25       21       18       16       14       -99      -99      -99      
1000-hr fuel (%)      -99      22       23       25       25       24       24       23       -99      -99      -99      


*NEAL SMITH         136101  41.570  -93.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       83       87       90       90       81       -99      -99      -99      
Min Temp (F)          -99      48       45       51       61       64       66       66       -99      -99      -99      
Min RH (%)            -99      0        47       39       68       55       52       55       -99      -99      -99      
Max Temp (F)          -99      66       71       69       85       87       87       84       -99      -99      -99      
WSpd (knt)            -99      8        12       17       17       14       15       16       -99      -99      -99      
BI                    -99      21       31       33       35       32       33       36       -99      -99      -99      
ERC                   -99      20       23       21       23       24       24       26       -99      -99      -99      
IC                    -99      10       25       10       15       15       13       14       -99      -99      -99      
10-hr fuel (%)        -99      10       8        12       11       10       11       11       -99      -99      -99      
100-hr fuel (%)       -99      17       16       15       15       15       15       14       -99      -99      -99      
1000-hr fuel (%)      -99      22       21       21       21       20       20       20       -99      -99      -99      


*SUNKHAZE MEADOWS   170800  44.900  -68.600  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      79       79       88       73       71       73       86       -99      -99      -99      
Min Temp (F)          -99      34       31       33       37       39       41       48       -99      -99      -99      
Min RH (%)            -99      0        25       27       32       30       33       44       -99      -99      -99      
Max Temp (F)          -99      60       57       62       66       68       72       79       -99      -99      -99      
WSpd (knt)            -99      8        7        7        9        8        7        9        -99      -99      -99      
BI                    -99      20       20       21       25       25       23       28       -99      -99      -99      
ERC                   -99      19       21       22       25       27       28       30       -99      -99      -99      
IC                    -99      20       16       16       20       18       13       17       -99      -99      -99      
10-hr fuel (%)        -99      7        7        7        7        7        8        7        -99      -99      -99      
100-hr fuel (%)       -99      16       14       14       12       11       11       11       -99      -99      -99      
1000-hr fuel (%)      -99      24       24       23       22       22       21       20       -99      -99      -99      


*MOOSEHORN NWR      170850  45.100  -67.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      76       73       88       76       70       79       86       -99      -99      -99      
Min Temp (F)          -99      27       32       33       36       37       39       46       -99      -99      -99      
Min RH (%)            -99      0        28       31       37       36       38       48       -99      -99      -99      
Max Temp (F)          -99      58       55       58       61       63       67       74       -99      -99      -99      
WSpd (knt)            -99      5        3        4        6        6        4        7        -99      -99      -99      
BI                    -99      15       12       15       19       21       18       22       -99      -99      -99      
ERC                   -99      14       17       19       21       23       24       26       -99      -99      -99      
IC                    -99      15       9        11       14       14       9        12       -99      -99      -99      
10-hr fuel (%)        -99      7        8        8        7        7        8        8        -99      -99      -99      
100-hr fuel (%)       -99      17       15       14       13       11       11       11       -99      -99      -99      
1000-hr fuel (%)      -99      26       25       25       24       23       22       22       -99      -99      -99      


*TURNER BROOK       172501  46.200  -69.800  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      85       81       74       76       79       73       83       -99      -99      -99      
Min Temp (F)          -99      24       25       26       32       36       39       47       -99      -99      -99      
Min RH (%)            -99      0        29       24       25       29       29       34       -99      -99      -99      
Max Temp (F)          -99      52       53       60       66       69       73       78       -99      -99      -99      
WSpd (knt)            -99      5        3        2        4        4        4        5        -99      -99      -99      
BI                    -99      17       14       14       19       20       21       23       -99      -99      -99      
ERC                   -99      19       21       24       25       28       29       31       -99      -99      -99      
IC                    -99      14       13       13       16       16       15       16       -99      -99      -99      
10-hr fuel (%)        -99      7        6        5        6        6        6        6        -99      -99      -99      
100-hr fuel (%)       -99      14       13       11       11       10       9        9        -99      -99      -99      
1000-hr fuel (%)      -99      25       25       24       23       22       21       21       -99      -99      -99      


*GREEN RIDGE        180201  39.600  -78.400  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       89       74       71       77       86       -99      -99      -99      
Min Temp (F)          -99      54       48       41       42       44       48       51       -99      -99      -99      
Min RH (%)            -99      0        81       79       57       44       40       47       -99      -99      -99      
Max Temp (F)          -99      63       54       56       65       69       72       78       -99      -99      -99      
WSpd (knt)            -99      5        9        5        5        4        5        5        -99      -99      -99      
BI                    -99      14       2        11       14       15       17       17       -99      -99      -99      
ERC                   -99      15       0        8        13       17       18       19       -99      -99      -99      
IC                    -99      0        1        6        11       11       11       10       -99      -99      -99      
10-hr fuel (%)        -99      19       20       12       10       9        9        9        -99      -99      -99      
100-hr fuel (%)       -99      19       30       25       21       17       15       15       -99      -99      -99      
1000-hr fuel (%)      -99      20       25       25       25       24       24       24       -99      -99      -99      


*SUSQUEHANNA        180701  39.600  -76.100  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       93       85       63       63       71       83       -99      -99      -99      
Min Temp (F)          -99      50       48       44       42       44       48       51       -99      -99      -99      
Min RH (%)            -99      0        83       79       61       45       45       50       -99      -99      -99      
