*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
BI                    -99      24       26       31       33       23       23       29       -99      -99      -99      
ERC                   -99      20       23       23       20       22       22       25       -99      -99      -99      
IC                    -99      19       24       15       8        9        7        15       -99      -99      -99      
10-hr fuel (%)        -99      8        6        9        12       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      16       14       13       14       14       14       14       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       21       21       21       -99      -99      -99      


*KESHENA            472002  44.800  -88.600  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       76       82       87       87       90       87       -99      -99      -99      
Min Temp (F)          -99      41       40       39       50       57       59       61       -99      -99      -99      
Min RH (%)            -99      0        30       28       52       59       54       54       -99      -99      -99      
Max Temp (F)          -99      66       65       64       71       77       80       81       -99      -99      -99      
WSpd (knt)            -99      11       9        12       16       8        8        10       -99      -99      -99      
BI                    -99      27       25       29       31       22       22       27       -99      -99      -99      
ERC                   -99      21       24       23       22       23       23       26       -99      -99      -99      
IC                    -99      24       24       15       10       10       8        14       -99      -99      -99      
10-hr fuel (%)        -99      7        6        9        11       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      15       13       13       13       13       14       13       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       21       21       20       -99      -99      -99      


*MEAD               472603  44.600  -89.800  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      89       79       76       87       87       87       87       -99      -99      -99      
Min Temp (F)          -99      40       39       41       52       58       60       62       -99      -99      -99      
Min RH (%)            -99      0        29       30       56       61       54       56       -99      -99      -99      
Max Temp (F)          -99      66       66       64       72       79       82       80       -99      -99      -99      
WSpd (knt)            -99      11       9        16       20       11       11       13       -99      -99      -99      
BI                    -99      27       25       32       37       28       28       33       -99      -99      -99      
ERC                   -99      21       23       22       22       24       23       26       -99      -99      -99      
IC                    -99      25       23       14       11       13       10       17       -99      -99      -99      
10-hr fuel (%)        -99      7        6        9        11       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      15       14       13       13       13       13       14       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       21       21       20       -99      -99      -99      


*AUGUSTA            472801  44.600  -91.100  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       76       68       87       90       84       87       -99      -99      -99      
Min Temp (F)          -99      38       40       46       54       57       62       61       -99      -99      -99      
Min RH (%)            -99      0        29       34       56       61       54       56       -99      -99      -99      
Max Temp (F)          -99      68       67       63       73       80       82       79       -99      -99      -99      
WSpd (knt)            -99      9        10       13       13       8        10       10       -99      -99      -99      
BI                    -99      18       22       25       25       20       23       25       -99      -99      -99      
ERC                   -99      13       17       17       18       20       21       23       -99      -99      -99      
IC                    -99      20       21       10       8        9        9        13       -99      -99      -99      
10-hr fuel (%)        -99      8        7        11       12       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      20       17       15       14       14       14       14       -99      -99      -99      
1000-hr fuel (%)      -99      25       25       24       23       23       22       22       -99      -99      -99      


*ROME (*SARATOGA)   473501  44.200  -89.800  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      89       79       73       84       87       84       84       -99      -99      -99      
Min Temp (F)          -99      40       40       43       52       59       62       63       -99      -99      -99      
Min RH (%)            -99      0        27       28       52       57       51       52       -99      -99      -99      
Max Temp (F)          -99      68       68       64       75       82       83       82       -99      -99      -99      
WSpd (knt)            -99      9        8        13       15       10       10       11       -99      -99      -99      
BI                    -99      23       23       30       31       26       26       31       -99      -99      -99      
ERC                   -99      21       23       23       22       24       25       27       -99      -99      -99      
IC                    -99      22       22       13       11       13       10       17       -99      -99      -99      
10-hr fuel (%)        -99      7        6        9        11       9        10       9        -99      -99      -99      
100-hr fuel (%)       -99      15       14       13       13       13       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       21       21       20       -99      -99      -99      


*BLACK RIVER FALLS  473901  44.200  -90.800  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       83       68       84       84       84       81       -99      -99      -99      
Min Temp (F)          -99      39       39       44       53       59       62       62       -99      -99      -99      
Min RH (%)            -99      0        23       26       54       59       53       53       -99      -99      -99      
Max Temp (F)          -99      70       70       66       77       84       85       83       -99      -99      -99      
WSpd (knt)            -99      5        6        10       13       8        9        10       -99      -99      -99      
BI                    -99      20       23       25       31       24       25       29       -99      -99      -99      
ERC                   -99      23       25       24       24       26       26       28       -99      -99      -99      
IC                    -99      20       23       10       10       12       10       16       -99      -99      -99      
10-hr fuel (%)        -99      6        6        10       11       9        10       9        -99      -99      -99      
100-hr fuel (%)       -99      15       14       12       13       13       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      23       22       21       21       21       20       20       -99      -99      -99      


*WAUTOMA            474201  44.500  -89.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      86       76       82       83       87       87       84       -99      -99      -99      
Min Temp (F)          -99      40       39       39       52       58       61       62       -99      -99      -99      
Min RH (%)            -99      0        31       29       54       59       52       52       -99      -99      -99      
Max Temp (F)          -99      65       66       65       72       79       81       81       -99      -99      -99      
WSpd (knt)            -99      11       9        13       16       9        9        11       -99      -99      -99      
BI                    -99      27       25       30       32       24       24       31       -99      -99      -99      
ERC                   -99      21       24       23       22       24       24       27       -99      -99      -99      
IC                    -99      23       24       15       10       11       9        16       -99      -99      -99      
10-hr fuel (%)        -99      7        6        9        11       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      15       13       13       13       13       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       21       21       20       -99      -99      -99      


*NECEDAH            474301  44.000  -90.000  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       79       76       84       87       87       84       -99      -99      -99      
Min Temp (F)          -99      40       41       44       54       60       62       63       -99      -99      -99      
Min RH (%)            -99      0        30       30       52       59       53       51       -99      -99      -99      
Max Temp (F)          -99      68       67       65       76       82       84       82       -99      -99      -99      
WSpd (knt)            -99      8        6        13       15       9        10       10       -99      -99      -99      
BI                    -99      21       22       31       32       25       27       29       -99      -99      -99      
ERC                   -99      20       24       23       23       25       26       28       -99      -99      -99      
IC                    -99      17       20       14       10       12       12       16       -99      -99      -99      
10-hr fuel (%)        -99      8        7        10       11       9        10       9        -99      -99      -99      
100-hr fuel (%)       -99      17       15       13       13       13       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      23       22       22       21       21       20       20       -99      -99      -99      


*HORICON            475601  43.500  -88.600  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      86       83       82       83       87       87       81       -99      -99      -99      
Min Temp (F)          -99      43       39       42       52       60       61       61       -99      -99      -99      
Min RH (%)            -99      0        38       32       58       66       60       56       -99      -99      -99      
Max Temp (F)          -99      62       64       62       72       79       81       81       -99      -99      -99      
WSpd (knt)            -99      12       9        15       17       11       11       12       -99      -99      -99      
BI                    -99      32       28       34       37       31       33       36       -99      -99      -99      
ERC                   -99      25       28       26       26       27       28       30       -99      -99      -99      
IC                    -99      18       22       11       10       12       14       17       -99      -99      -99      
10-hr fuel (%)        -99      9        7        11       12       10       10       9        -99      -99      -99      
100-hr fuel (%)       -99      15       14       13       14       14       14       13       -99      -99      -99      
1000-hr fuel (%)      -99      21       20       20       19       19       19       18       -99      -99      -99      


*PARDEEVILLE        475701  43.500  -89.300  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      86       86       82       87       87       84       90       -99      -99      -99      
Min Temp (F)          -99      43       39       42       54       61       63       63       -99      -99      -99      
Min RH (%)            -99      0        35       32       58       63       59       55       -99      -99      -99      
Max Temp (F)          -99      64       66       65       76       82       83       82       -99      -99      -99      
WSpd (knt)            -99      11       8        14       17       11       11       12       -99      -99      -99      
BI                    -99      27       24       30       34       29       30       33       -99      -99      -99      
ERC                   -99      21       24       22       23       24       25       27       -99      -99      -99      
IC                    -99      19       20       11       13       12       13       17       -99      -99      -99      
10-hr fuel (%)        -99      8        7        11       11       10       10       9        -99      -99      -99      
100-hr fuel (%)       -99      16       15       14       14       14       14       13       -99      -99      -99      
1000-hr fuel (%)      -99      22       22       22       21       21       20       20       -99      -99      -99      


*DODGEVILLE         476001  43.100  -90.000  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      90       83       79       84       87       87       84       -99      -99      -99      
Min Temp (F)          -99      44       39       44       56       62       66       64       -99      -99      -99      
Min RH (%)            -99      0        40       34       58       59       57       53       -99      -99      -99      
Max Temp (F)          -99      63       66       67       78       84       86       84       -99      -99      -99      
WSpd (knt)            -99      10       8        13       16       11       11       10       -99      -99      -99      
BI                    -99      23       23       30       33       29       29       28       -99      -99      -99      
ERC                   -99      20       24       23       23       24       25       27       -99      -99      -99      
IC                    -99      14       19       12       13       13       11       14       -99      -99      -99      
10-hr fuel (%)        -99      9        7        10       10       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      16       15       14       14       14       14       14       -99      -99      -99      
1000-hr fuel (%)      -99      23       22       22       21       21       20       20       -99      -99      -99      


*BOSCOBEL           476002  43.100  -90.600  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      90       83       73       81       87       84       81       -99      -99      -99      
Min Temp (F)          -99      44       40       45       57       62       65       64       -99      -99      -99      
Min RH (%)            -99      0        36       32       52       55       51       51       -99      -99      -99      
Max Temp (F)          -99      66       68       66       78       85       86       84       -99      -99      -99      
WSpd (knt)            -99      9        8        15       16       11       11       11       -99      -99      -99      
BI                    -99      26       27       36       37       33       33       35       -99      -99      -99      
ERC                   -99      24       28       27       27       29       29       31       -99      -99      -99      
IC                    -99      16       22       14       13       16       13       19       -99      -99      -99      
10-hr fuel (%)        -99      8        7        10       11       9        10       8        -99      -99      -99      
100-hr fuel (%)       -99      16       14       13       13       13       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      21       20       20       19       19       19       18       -99      -99      -99      


*Aragonite          420911  40.600  -113.020 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      50       45       57       51       51       43       49       -99      -99      -99      
Min Temp (F)          -99      51       54       40       37       37       42       39       -99      -99      -99      
Min RH (%)            -99      0        22       18       25       21       22       17       -99      -99      -99      
Max Temp (F)          -99      76       66       56       55       61       63       64       -99      -99      -99      
WSpd (knt)            -99      12       15       18       14       11       14       13       -99      -99      -99      
BI                    -99      48       57       65       57       52       60       61       -99      -99      -99      
ERC                   -99      40       44       46       48       49       52       54       -99      -99      -99      
IC                    -99      34       42       36       34       27       35       33       -99      -99      -99      
10-hr fuel (%)        -99      6        5        6        6        6        6        6        -99      -99      -99      
100-hr fuel (%)       -99      13       11       10       9        8        8        7        -99      -99      -99      
1000-hr fuel (%)      -99      16       15       15       14       14       14       13       -99      -99      -99      


*Assay Bench        422604  37.520  -112.560 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      33       33       35       40       44       40       41       -99      -99      -99      
Min Temp (F)          -99      44       47       38       34       35       34       29       -99      -99      -99      
Min RH (%)            -99      0        14       18       15       14       15       13       -99      -99      -99      
Max Temp (F)          -99      74       69       62       59       61       59       60       -99      -99      -99      
WSpd (knt)            -99      15       24       22       18       19       18       14       -99      -99      -99      
BI                    -99      101      128      127      111      112      109      90       -99      -99      -99      
ERC                   -99      86       85       86       85       84       85       85       -99      -99      -99      
IC                    -99      81       71       80       67       62       63       51       -99      -99      -99      
10-hr fuel (%)        -99      3        4        3        4        4        4        4        -99      -99      -99      
100-hr fuel (%)       -99      6        5        5        5        6        6        6        -99      -99      -99      
1000-hr fuel (%)      -99      7        7        7        7        7        7        6        -99      -99      -99      


*Big Indian         422711  38.220  -109.280 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      29       29       38       32       33       26       26       -99      -99      -99      
Min Temp (F)          -99      47       53       46       45       46       48       41       -99      -99      -99      
Min RH (%)            -99      0        11       14       11       11       12       9        -99      -99      -99      
Max Temp (F)          -99      76       77       70       70       72       73       67       -99      -99      -99      
WSpd (knt)            -99      14       20       21       19       18       18       14       -99      -99      -99      
BI                    -99      93       117      122      114      110      116      98       -99      -99      -99      
ERC                   -99      77       78       80       81       82       84       86       -99      -99      -99      
IC                    -99      82       83       88       78       74       84       76       -99      -99      -99      
10-hr fuel (%)        -99      3        3        3        3        4        3        3        -99      -99      -99      
100-hr fuel (%)       -99      7        6        6        5        5        5        5        -99      -99      -99      
1000-hr fuel (%)      -99      8        8        8        8        8        7        7        -99      -99      -99      


*Bruin Point        421702  39.610  -110.290 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      39       37       49       47       35       31       39       -99      -99      -99      
Min Temp (F)          -99      39       45       32       29       33       36       30       -99      -99      -99      
Min RH (%)            -99      0        19       21       18       20       17       18       -99      -99      -99      
Max Temp (F)          -99      66       62       57       58       61       59       56       -99      -99      -99      
WSpd (knt)            -99      18       18       28       18       22       20       17       -99      -99      -99      
BI                    -99      29       32       49       39       48       50       46       -99      -99      -99      
ERC                   -99      13       17       22       25       29       32       35       -99      -99      -99      
IC                    -99      41       32       56       34       44       43       38       -99      -99      -99      
10-hr fuel (%)        -99      7        7        5        6        5        5        5        -99      -99      -99      
100-hr fuel (%)       -99      20       16       13       11       9        8        7        -99      -99      -99      
1000-hr fuel (%)      -99      26       25       24       23       22       21       21       -99      -99      -99      


*Bryson Ridge       422102  39.280  -109.220 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      41       34       51       33       29       27       31       -99      -99      -99      
Min Temp (F)          -99      49       55       47       48       49       51       45       -99      -99      -99      
Min RH (%)            -99      0        11       13       11       9        10       8        -99      -99      -99      
Max Temp (F)          -99      82       82       75       75       79       79       73       -99      -99      -99      
WSpd (knt)            -99      15       19       22       19       20       18       15       -99      -99      -99      
BI                    -99      91       109      122      110      118      116      100      -99      -99      -99      
ERC                   -99      71       74       76       77       80       83       84       -99      -99      -99      
IC                    -99      79       81       89       74       81       90       75       -99      -99      -99      
10-hr fuel (%)        -99      4        4        3        4        3        3        3        -99      -99      -99      
100-hr fuel (%)       -99      9        8        7        6        6        5        5        -99      -99      -99      
1000-hr fuel (%)      -99      9        9        8        8        8        8        8        -99      -99      -99      


*Buck Flat          422606  37.900  -111.690 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      26       28       32       31       34       29       32       -99      -99      -99      
Min Temp (F)          -99      46       48       39       36       36       37       32       -99      -99      -99      
Min RH (%)            -99      0        11       14       12       13       13       12       -99      -99      -99      
Max Temp (F)          -99      76       72       66       63       65       62       61       -99      -99      -99      
WSpd (knt)            -99      14       28       20       19       18       15       14       -99      -99      -99      
BI                    -99      88       134      118      110      104      92       89       -99      -99      -99      
ERC                   -99      72       73       76       76       76       78       79       -99      -99      -99      
IC                    -99      81       80       92       78       69       62       59       -99      -99      -99      
10-hr fuel (%)        -99      3        3        3        3        4        4        3        -99      -99      -99      
100-hr fuel (%)       -99      7        6        6        5        5        5        5        -99      -99      -99      
1000-hr fuel (%)      -99      10       9        9        9        9        9        8        -99      -99      -99      


*Bues Canyon        420403  41.150  -111.920 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      61       62       59       65       55       53       60       -99      -99      -99      
Min Temp (F)          -99      50       52       41       37       35       41       39       -99      -99      -99      
Min RH (%)            -99      0        26       25       32       27       30       28       -99      -99      -99      
Max Temp (F)          -99      73       64       57       56       62       65       64       -99      -99      -99      
WSpd (knt)            -99      11       15       12       10       9        9        10       -99      -99      -99      
BI                    -99      44       53       48       41       41       43       47       -99      -99      -99      
ERC                   -99      39       42       43       43       46       49       50       -99      -99      -99      
IC                    -99      29       32       22       16       19       22       22       -99      -99      -99      
10-hr fuel (%)        -99      7        7        8        8        7        6        7        -99      -99      -99      
100-hr fuel (%)       -99      14       12       11       10       10       9        9        -99      -99      -99      
1000-hr fuel (%)      -99      16       15       15       15       14       14       14       -99      -99      -99      


*Cart Creek         420805  40.880  -109.410 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      56       56       64       72       56       50       56       -99      -99      -99      
Min Temp (F)          -99      42       45       36       31       33       38       35       -99      -99      -99      
Min RH (%)            -99      0        22       19       18       22       16       14       -99      -99      -99      
Max Temp (F)          -99      69       65       58       56       66       66       62       -99      -99      -99      
WSpd (knt)            -99      10       13       16       13       18       19       12       -99      -99      -99      
BI                    -99      52       64       73       65       86       92       71       -99      -99      -99      
ERC                   -99      51       53       56       55       59       61       62       -99      -99      -99      
IC                    -99      37       41       49       35       63       69       48       -99      -99      -99      
10-hr fuel (%)        -99      6        6        5        6        5        4        4        -99      -99      -99      
100-hr fuel (%)       -99      12       10       10       9        9        8        8        -99      -99      -99      
1000-hr fuel (%)      -99      13       12       12       12       12       12       11       -99      -99      -99      


*Cedar Mountain     420901  40.300  -112.780 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      52       50       61       64       64       50       59       -99      -99      -99      
Min Temp (F)          -99      47       50       37       33       32       37       35       -99      -99      -99      
Min RH (%)            -99      0        20       16       23       19       20       16       -99      -99      -99      
Max Temp (F)          -99      77       69       60       58       64       65       65       -99      -99      -99      
WSpd (knt)            -99      11       15       17       12       13       14       13       -99      -99      -99      
BI                    -99      49       62       65       56       60       63       64       -99      -99      -99      
ERC                   -99      43       47       48       50       51       54       55       -99      -99      -99      
IC                    -99      36       49       39       33       34       38       36       -99      -99      -99      
10-hr fuel (%)        -99      6        5        6        6        6        5        6        -99      -99      -99      
100-hr fuel (%)       -99      13       11       10       9        9        8        8        -99      -99      -99      
1000-hr fuel (%)      -99      15       14       14       14       13       13       13       -99      -99      -99      


*Little Delores     52410   38.970  -108.940 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      33       28       43       31       29       25       27       -99      -99      -99      
Min Temp (F)          -99      48       55       46       45       47       49       43       -99      -99      -99      
Min RH (%)            -99      0        13       14       12       11       12       9        -99      -99      -99      
Max Temp (F)          -99      76       77       70       71       74       75       69       -99      -99      -99      
WSpd (knt)            -99      17       24       23       22       20       19       16       -99      -99      -99      
BI                    -99      63       83       85       87       90       92       84       -99      -99      -99      
ERC                   -99      43       48       51       54       58       61       64       -99      -99      -99      
IC                    -99      63       81       78       78       86       86       78       -99      -99      -99      
10-hr fuel (%)        -99      5        4        4        4        3        3        3        -99      -99      -99      
100-hr fuel (%)       -99      12       10       8        7        6        6        5        -99      -99      -99      
1000-hr fuel (%)      -99      15       15       15       14       14       13       12       -99      -99      -99      


*Diamond            421408  40.620  -109.240 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      49       52       64       67       50       42       54       -99      -99      -99      
Min Temp (F)          -99      42       45       36       33       34       40       35       -99      -99      -99      
Min RH (%)            -99      0        22       18       19       21       16       14       -99      -99      -99      
Max Temp (F)          -99      67       64       57       57       65       65       61       -99      -99      -99      
WSpd (knt)            -99      17       18       22       15       19       20       13       -99      -99      -99      
BI                    -99      71       77       88       68       88       95       75       -99      -99      -99      
ERC                   -99      50       52       55       56       59       62       64       -99      -99      -99      
IC                    -99      51       47       56       36       59       68       51       -99      -99      -99      
10-hr fuel (%)        -99      6        6        5        6        5        4        4        -99      -99      -99      
100-hr fuel (%)       -99      12       11       10       9        8        7        7        -99      -99      -99      
1000-hr fuel (%)      -99      13       12       12       12       12       11       11       -99      -99      -99      


*Five Mile          421304  39.880  -110.270 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      32       30       37       41       32       26       33       -99      -99      -99      
Min Temp (F)          -99      47       53       40       36       39       44       37       -99      -99      -99      
Min RH (%)            -99      0        16       17       15       16       14       15       -99      -99      -99      
Max Temp (F)          -99      70       66       59       60       64       63       60       -99      -99      -99      
WSpd (knt)            -99      19       22       26       17       21       21       15       -99      -99      -99      
BI                    -99      58       64       81       60       75       79       65       -99      -99      -99      
ERC                   -99      36       39       44       46       49       53       55       -99      -99      -99      
IC                    -99      53       50       73       42       58       63       47       -99      -99      -99      
10-hr fuel (%)        -99      6        6        4        5        4        4        4        -99      -99      -99      
100-hr fuel (%)       -99      14       11       9        8        7        6        6        -99      -99      -99      
1000-hr fuel (%)      -99      17       17       16       16       15       15       14       -99      -99      -99      


*Flattop Mtn        422002  39.340  -110.600 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      32       29       39       41       31       28       32       -99      -99      -99      
Min Temp (F)          -99      49       56       44       41       43       45       41       -99      -99      -99      
Min RH (%)            -99      0        12       14       12       14       12       12       -99      -99      -99      
Max Temp (F)          -99      79       76       69       68       72       71       68       -99      -99      -99      
WSpd (knt)            -99      18       22       23       15       19       18       15       -99      -99      -99      
BI                    -99      108      121      129      91       113      112      95       -99      -99      -99      
ERC                   -99      76       78       80       79       81       83       83       -99      -99      -99      
IC                    -99      81       83       88       53       73       76       61       -99      -99      -99      
10-hr fuel (%)        -99      4        3        3        4        4        3        4        -99      -99      -99      
100-hr fuel (%)       -99      7        6        6        6        5        5        5        -99      -99      -99      
1000-hr fuel (%)      -99      8        8        8        8        8        8        7        -99      -99      -99      


*Otter Creek        420912  41.753  -111.281 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      79       77       81       85       75       72       75       -99      -99      -99      
Min Temp (F)          -99      40       42       31       26       25       31       30       -99      -99      -99      
Min RH (%)            -99      0        37       40       45       39       39       37       -99      -99      -99      
Max Temp (F)          -99      59       51       44       43       51       55       51       -99      -99      -99      
WSpd (knt)            -99      17       20       18       16       13       12       14       -99      -99      -99      
BI                    -99      47       56       42       39       39       39       41       -99      -99      -99      
ERC                   -99      33       35       25       27       30       32       33       -99      -99      -99      
IC                    -99      23       29       16       13       17       18       18       -99      -99      -99      
10-hr fuel (%)        -99      9        8        11       10       9        8        9        -99      -99      -99      
100-hr fuel (%)       -99      15       14       19       17       15       14       13       -99      -99      -99      
1000-hr fuel (%)      -99      17       16       18       18       18       18       17       -99      -99      -99      


*Bear River         420703  40.883  -110.817 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      65       73       62       75       58       58       63       -99      -99      -99      
Min Temp (F)          -99      34       36       26       21       23       26       23       -99      -99      -99      
Min RH (%)            -99      0        31       34       33       34       30       29       -99      -99      -99      
Max Temp (F)          -99      58       51       44       43       51       52       48       -99      -99      -99      
WSpd (knt)            -99      15       13       16       14       16       14       11       -99      -99      -99      
BI                    -99      54       51       46       44       53       51       46       -99      -99      -99      
ERC                   -99      42       43       32       34       38       41       42       -99      -99      -99      
IC                    -99      31       24       21       18       31       31       21       -99      -99      -99      
10-hr fuel (%)        -99      7        8        9        9        7        6        7        -99      -99      -99      
100-hr fuel (%)       -99      13       12       17       15       13       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      15       15       16       16       16       16       15       -99      -99      -99      


*Hewinta            420705  40.953  -110.481 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      69       72       57       71       60       55       65       -99      -99      -99      
Min Temp (F)          -99      30       32       22       17       19       23       20       -99      -99      -99      
Min RH (%)            -99      0        29       28       26       26       26       25       -99      -99      -99      
Max Temp (F)          -99      58       52       45       45       52       53       50       -99      -99      -99      
WSpd (knt)            -99      17       15       18       15       16       14       11       -99      -99      -99      
BI                    -99      64       60       58       52       58       56       51       -99      -99      -99      
ERC                   -99      45       47       36       38       42       45       46       -99      -99      -99      
IC                    -99      41       36       34       27       37       35       27       -99      -99      -99      
10-hr fuel (%)        -99      7        6        8        8        6        6        6        -99      -99      -99      
100-hr fuel (%)       -99      13       12       17       15       13       11       10       -99      -99      -99      
1000-hr fuel (%)      -99      14       14       15       15       15       15       15       -99      -99      -99      


*Lost Creek         421905  38.771  -111.862 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      32       34       47       50       39       34       42       -99      -99      -99      
Min Temp (F)          -99      47       52       38       35       38       39       34       -99      -99      -99      
Min RH (%)            -99      0        15       15       15       16       14       15       -99      -99      -99      
Max Temp (F)          -99      74       68       62       61       64       63       60       -99      -99      -99      
WSpd (knt)            -99      14       16       24       13       18       17       13       -99      -99      -99      
BI                    -99      51       59       81       56       72       71       63       -99      -99      -99      
ERC                   -99      40       44       47       48       51       54       55       -99      -99      -99      
IC                    -99      46       54       73       36       52       50       41       -99      -99      -99      
10-hr fuel (%)        -99      5        4        4        5        5        4        5        -99      -99      -99      
100-hr fuel (%)       -99      12       10       8        8        7        6        6        -99      -99      -99      
1000-hr fuel (%)      -99      16       16       15       15       14       14       13       -99      -99      -99      


*Badger Springs     422806  37.152  -113.951 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      17       21       19       22       24       20       23       -99      -99      -99      
Min Temp (F)          -99      63       65       57       52       52       49       49       -99      -99      -99      
Min RH (%)            -99      0        10       13       10       10       12       10       -99      -99      -99      
Max Temp (F)          -99      86       83       75       71       70       68       73       -99      -99      -99      
WSpd (knt)            -99      13       21       22       15       15       13       12       -99      -99      -99      
BI                    -99      104      126      139      103      101      99       96       -99      -99      -99      
ERC                   -99      93       92       95       94       94       95       96       -99      -99      -99      
IC                    -99      88       82       98       70       63       64       66       -99      -99      -99      
10-hr fuel (%)        -99      2        3        2        3        3        3        3        -99      -99      -99      
100-hr fuel (%)       -99      4        4        4        4        4        4        4        -99      -99      -99      
1000-hr fuel (%)      -99      6        6        6        6        5        5        5        -99      -99      -99      


*Tweeds Points      20109   36.583  -113.717 20220506  21   
