station_name,station_id,psa_name,psa_code,gaccid,rs
Fort Duchesne,421415,Uinta Basin,GB29,12,12
Upper PR Canyon,421406,Uinta Basin,GB29,12,12
Wildhorse,421416,Uinta Basin,GB29,12,12
Horse Ridge,421305,Uinta Basin,GB29,12,13
Winter Ridge,421407,Uinta Basin,GB29,12,12
Five Mile,421304,Uinta Basin,GB29,12,13
Yellowstone,421301,Uinta Basin,GB29,12,13
Joes Valley,421602,Manti,GB30,12,12
Bryson,422102,Castle,GB31,12,12
Bruin Point,421702,Castle,GB31,12,12
McCook,421405,Castle,GB31,12,12
Flat Top,422002,Castle,GB31,12,12
Big Indian,422711,Canyon,GB32,12,12
Kane Gulch,422712,Canyon,GB32,12,12
North Long Point,422710,Canyon,GB32,12,12
Brimstone,422203,SW Utah Desert,GB33,12,12
Enterprise,422803,SW Utah Desert,GB33,12,13
Jensen Spring,422502,SW Utah Desert,GB33,12,12
Buck Flat,422606,Dixie-Bryce,GB34,12,13
Cottonwood,422503,Dixie-Bryce,GB34,12,12
Tom Best,422608,Dixie-Bryce,GB34,12,13
Assay Bench,422604,Dixie-Bryce,GB34,12,13
Lava Point,422807,Dixie-Bryce,GB34,12,12
Bryce Canyon,422609,Dixie-Bryce,GB34,12,13
Buckskin,20224,AZ Strip-Monuments,GB35,12,13
Tweedy,20109,AZ Strip-Monuments,GB35,12,13
Olaf,20108,AZ Strip-Monuments,GB35,12,13
Logan,20107,AZ Strip-Monuments,GB35,12,13
Badger Spring,422806,AZ Strip-Monuments,GB35,12,12
Blackrock,20114,AZ Strip-Monuments,GB35,12,12
White Reef,422805,AZ Strip-Monuments,GB35,12,13
Eagle,480214,Shoshone,RM01,7,12
Elkhorn,481410,Shoshone,RM01,7,12
Crandall,480213,Big Horn Basin,RM02,7,13
Grass Creek,480804,Big Horn Basin,RM02,7,12
Hyatt High,480307,Big Horn Basin,RM02,7,12
Leigh Creek,480906,Big Horn Basin,RM02,7,13
Rattlesnake,480212,Big Horn Basin,RM02,7,12
Split Rock,480904,Big Horn Basin,RM02,7,12
Burgess,480403,Big Horn Mountains,RM03,7,13
Mill Creek,480306,Big Horn Mountains,RM03,7,12
School House,481002,Big Horn Mountains,RM03,7,12
Leigh Creek,480906,Big Horn Mountains,RM03,7,13
Bear Lodge,480605,Powder River Basin,RM04,7,12
Echeta,480501,Powder River Basin,RM04,7,12
Rochelle Hills,480502,Powder River Basin,RM04,7,13
Indian Butte,390901,Powder River Basin,RM04,7,12
Baker Park,392606,Black Hills North,RM05,7,13
Nemo,392506,Black Hills North,RM05,7,12
Rushmore,392603,Black Hills North,RM05,7,13
Red Canyon,395105,Black Hills South,RM06,7,12
WICA Elk Mountain,393505,Black Hills South,RM06,7,13
Custer West,393506,Black Hills South,RM06,7,13
Anderson Ridge,481903,Southwest Wyoming,RM07,7,12
Snow Springs Creek,481904,Southwest Wyoming,RM07,7,12
Muddy Creek,481801,Southwest Wyoming,RM07,7,12
Camp Creek,482010,Wind River Basin/Casper Mountain,RM08,7,12
Casper Mountain,481502,Wind River Basin/Casper Mountain,RM08,7,12
Fales Rock,481504,Wind River Basin/Casper Mountain,RM08,7,13
Wind River,481411,Wind River Basin/Casper Mountain,RM08,7,13
Poker Creek,481003,Wind River Basin/Casper Mountain,RM08,7,12
Dodge Creek,482106,Laramie Mountains,RM09,7,12
Ester Brook,482102,Laramie Mountains,RM09,7,12
Cow Creek,482011,Northwest Colorado Plateau,RM10,7,12
Great Divide,50106,Northwest Colorado Plateau,RM10,7,12
Ladore,50104,Northwest Colorado Plateau,RM10,7,13
Porcupine,50406,Northern Colorado Mountains,RM11,7,12
Dead Horse,51404,Northern Colorado Mountains,RM11,7,12
Willow Creek,50304,Northern Colorado Mountains,RM11,7,12
Sawmill,482105,Northern Colorado Mountains,RM11,7,12
Sugarloaf,50604,Northern Front Range Foothills,RM12,7,13
Redstone,50508,Northern Front Range Foothills,RM12,7,12
Red Feather,50505,Northern Front Range Mountains,RM13,7,13
Estes Park,50507,Northern Front Range Mountains,RM13,7,13
Bailey,52001,Northern Front Range Mountains,RM13,7,13
Pickle Gulch,51901,Northern Front Range Mountains,RM13,7,13
Dragon Road,51407,Lower Colorado River Plateau,RM14,7,13
Pinto,51402,Lower Colorado River Plateau,RM14,7,13
Demaree,51507,Lower Colorado River Plateau,RM14,7,12
Little Delores,52410,Lower Colorado River Plateau,RM14,7,12
Hunter Creek,51406,Lower Colorado River Plateau,RM14,7,13
Rifle,51504,Lower Colorado River Plateau,RM14,7,12
Pine Ridge,52407,Lower Colorado River Plateau,RM14,7,12
Crown,51506,Grand Mesa/White River,RM15,7,12
Dowd Jct,51606,Grand Mesa/White River,RM15,7,12
Gypsum,51607,Grand Mesa/White River,RM15,7,13
Soda Creek,51703,Grand Mesa/White River,RM15,7,12
Storm King,51508,Grand Mesa/White River,RM15,7,12
Black Canyon,53806,Uncompahgre,RM16,7,12
Carpenter Ridge,53808,Uncompahgre,RM16,7,12
Cottonwood Basin,53805,Uncompahgre,RM16,7,12
Dominguez,52409,Uncompahgre,RM16,7,12
Jay,52704,Uncompahgre,RM16,7,12
Sanborn,53804,Uncompahgre,RM16,7,12
Nulca,53807,Uncompahgre,RM16,7,12
Huntsman Mesa,52813,Gunnison/Pike,RM17,7,12
Lujan,54702,Gunnison/Pike,RM17,7,12
Red Deer,52902,Gunnison/Pike,RM17,7,13
Taylor Park,52812,Gunnison/Pike,RM17,7,12
Cheeseman,53102,Central Front Range,RM18,7,13
Copper Gulch,53904,Central Front Range,RM18,7,12
Fort Carson,53603,Central Front Range,RM18,7,12
Lake George,53002,Central Front Range,RM18,7,12
Chapin,55704,Ute Mountain/Mesa Verde,RM19,7,12
Mesa Mountain,55805,Ute Mountain/Mesa Verde,RM19,7,13
Salter,55205,Ute Mountain/Mesa Verde,RM19,7,13
Bighorn,56005,San Juan,RM20,7,12
Blue Park,55305,San Juan,RM20,7,12
Sand Dunes,55503,San Luis Valley/Great Sand Dunes,RM21,7,13
Bighorn,56005,San Luis Valley/Great Sand Dunes,RM21,7,12
Four Mile,53903,Southern Front Range,RM22,7,13
Bosque (Cuchara),56203,Southern Front Range,RM22,7,12
Copper Gulch,53904,Southern Front Range,RM22,7,12
Bear Creek,391201,Central South Dakota,RM23,7,12
Huron,393101,Central South Dakota,RM23,7,12
Fort Pierre,393801,Central South Dakota,RM23,7,12
Magpie,395601,Central South Dakota,RM23,7,13
Lake Andes,395901,Central South Dakota,RM23,7,12
Kincan,250203,SW South Dakota/NE National Forest,RM24,7,13
Pinnacles,392602,SW South Dakota/NE National Forest,RM24,7,13
Agate,250105,NE Colorado/SE Wyoming/W Nebraska,RM25,7,13
Scotts Bluff,251905,NE Colorado/SE Wyoming/W Nebraska,RM25,7,12
Valentine,250402,Central Nebraska,RM26,7,13
Bessey,252402,Central Nebraska,RM26,7,12
Pinion Canyon,56202,SE Colorado/W Kansas,RM27,7,13
Cimarron,148601,SE Colorado/W Kansas,RM27,7,13
Stafford,146501,Central-E Kansas,RM28,7,12
Kirwin,140401,Central-E Kansas,RM28,7,12
Potowatomi,142301,Central-E Kansas,RM28,7,12
